Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
A&M,A,ALVEREZ AND MARSHAL,A&M,CON,CONTRACT FLEET,Trucklo
AAAA,X,P.G. EXPRESS-INC,AAAA,CON,CONTRACT FLEET,Trucklo
AACR,X,ATLANTIC CARRIER INC,AACR,CON,CONTRACT FLEET,Trucklo
AACT,X,AAA COOPER TRANSPORTATION,AACT,LTL,LESS THAN TRUCK LOAD,
AACTBUA,A,AAA COOPER DOCK DROP,AACT,LTL,LESS THAN TRUCK LOAD,
AACTLTL,A,AAA COOPER TRANSPORTATION,AACT,LTL,LESS THAN TRUCK LOAD,
AACTMGBUA,X,AAA COOPER DOCK DROP,SUPP,LTL,LESS THAN TRUCK LOAD,
AACTMGLTL,X,AAA COOPER TRANSPORTATION,SUPP,LTL,LESS THAN TRUCK LOAD,
AADI,X,AAA TRANS INC,AADI,CON,CONTRACT FLEET,Trucklo
AADL,X,AAA DEDICATED LOGISTIC INC,D468,CON,CONTRACT FLEET,Trucklo
AADT,A,AAA TRUCKING INC,AADT,CON,CONTRACT FLEET,Trucklo
AAES,X,A AND A EXPRESS INC.,AAES,CON,CONTRACT FLEET,Trucklo
AAEV,X,AAR EXPRESS LLC,AAEV,CON,CONTRACT FLEET,Trucklo
AAEY,X,AA-EXPRESS LLC,AAEY,CON,CONTRACT FLEET,Trucklo
AAFL,X,AARON FREIGHT SYSTEM,AAFL,CON,CONTRACT FLEET,Trucklo
AAFS,X,AA FREIGHT INC,AAFS,CON,CONTRACT FLEET,Trucklo
AAGA,X,AMERASIAN LOGISTICS CARGO LLC,AAGA,CON,CONTRACT FLEET,Trucklo
AAGJ,A,ATLANTIC CARGO CO,AAGJ,CON,CONTRACT FLEET,Trucklo
AAGY,X,A and A LOGISTICS,7278,CON,CONTRACT FLEET,Trucklo
AAJT,X,AMA LOGISTICS LLC,AAJT,CON,CONTRACT FLEET,Trucklo
AANC,A,AAN TRUCKING LLC,AANC,CON,CONTRACT FLEET,Trucklo
AANF,X,ANNANOOR TRANSPORT INC,AANF,CON,CONTRACT FLEET,Trucklo
AANO,A,AAM NETWORK INC,7836,CON,CONTRACT FLEET,Trucklo
AANP,X,ALL AMERICA TRANSPORTATION- IN,AANP,BRO,BROKER,Trucklo
AAPR,X,A and A EXPRESS LLC,AAPR,CON,CONTRACT FLEET,Trucklo
AAPY,A,AGA TRANSPORTATION INC,AAPY,CON,CONTRACT FLEET,Trucklo
AAQT,X,ABSOLUTE QUALITY TRANSPORTATIO,A535,CON,CONTRACT FLEET,Trucklo
AARY,X,A and A X-PRESS INC,AARY,CON,CONTRACT FLEET,Trucklo
AATJ,A,COYOTE LOGISTICS PURCHASED,AATJ,BRO,BROKER,Trucklo
AATK,A,A and A TRUCKING CO,B826,CON,CONTRACT FLEET,Trucklo
AAUG,X,AAA TRUCKING LLC,AAUG,CON,CONTRACT FLEET,Trucklo
AAVV,X,A and A VANLINES,AAVV,CON,CONTRACT FLEET,Trucklo
AAWR,A,AAW TRANSPORTATION INC,A342,CON,CONTRACT FLEET,Trucklo
AAZP,X,ANACONDA TRANSPORT,AAZP,CON,CONTRACT FLEET,Trucklo
AB,A,XPRESS TRUCK LINES INC,K643,CON,CONTRACT FLEET,Trucklo
ABAW,X,ABS TRANSPORTS LIMITED,ABAW,CON,CONTRACT FLEET,Trucklo
ABBO,X,A2B TRANSPORT LLC,ABBO,CON,CONTRACT FLEET,Trucklo
ABCD,X,KJV TRANSPORTATION LLC,N476,CON,CONTRACT FLEET,Trucklo
ABDD,A,ABARCA TRANSPORTATION LLC,A522,CON,CONTRACT FLEET,Trucklo
ABED,X,ABED TRUCKING COMPANY,ABED,CON,CONTRACT FLEET,Trucklo
ABFM,A,ALBERT FARMS- INC.,ABFM,CON,CONTRACT FLEET,Trucklo
ABFSLTL,A,ABF FREIGHT SYSTEMS- INC,ABFS,LTL,LESS THAN TRUCK LOAD,
ABHW,A,ARB CARGO INC,ABHW,CON,CONTRACT FLEET,Trucklo
ABIG,A,ABI EXPRESS INC,5927,CON,CONTRACT FLEET,Trucklo
ABII,X,A. B. I. INC.,ABII,CON,CONTRACT FLEET,Trucklo
ABJE,A,A B J EXPRESS- INC.,ABJE,CON,CONTRACT FLEET,Trucklo
ABKE,X,ABE S TRUCKING- INC.,ABKE,CON,CONTRACT FLEET,Trucklo
ABLB,X,ABOUT LOGISTICS INC,1834,CON,CONTRACT FLEET,Trucklo
ABME,A,ABILENE MOTOR EXPRESS,ABME,CON,CONTRACT FLEET,Trucklo
ABMH,X,TIM ABLES,ABMH,CON,CONTRACT FLEET,Trucklo
ABMN,A,ABMERE INC,7376,CON,CONTRACT FLEET,Trucklo
ABNS,X,AMBITION LLC,ABNS,CON,CONTRACT FLEET,Trucklo
ABOD,X,ABLE TRUCKING ONT. INC.,ABOD,CON,CONTRACT FLEET,Trucklo
ABOQ,A,A TO B LOGISTICS INC,ABOQ,CON,CONTRACT FLEET,Trucklo
ABOR,A,ARBERIN TRANSPORT INC,ABOR,CON,CONTRACT FLEET,Trucklo
ABPK,A,ALBATRANS EXPRESS INC,ABPK,CON,CONTRACT FLEET,Trucklo
ABQC,A,ALLBOUND,ABQC,CON,CONTRACT FLEET,Trucklo
ABRI,X,A B R TRANSPORT,ABRI,CON,CONTRACT FLEET,Trucklo
ABWA,X,BUD W ALLEN TRUCKING LLC,ABWA,CON,CONTRACT FLEET,Trucklo
ABWK,A,ABSTRACT CARRIERS LLC,B366,CON,CONTRACT FLEET,Trucklo
ABXE,X,AB EXPRESS LLC,ABXE,CON,CONTRACT FLEET,Trucklo
ABXG,X,ALBION EXPRESS INC,ABXG,CON,CONTRACT FLEET,Trucklo
ABXR,X,AB EXPEDITED INC,ABXR,CON,CONTRACT FLEET,Trucklo
ABZI,X,A B I ASSOCIATES INCORPORATED,ABZI,CON,CONTRACT FLEET,Trucklo
ACAM,X,AMERICAN RAMP TRANSIT- INC.,ACAM,CON,CONTRACT FLEET,Trucklo
ACBD,X,RM TRUCKS,ACBD,CON,CONTRACT FLEET,Trucklo
ACBH,X,ARCBEST,ACBH,CON,CONTRACT FLEET,Trucklo
ACCV,A,MAXIMUS TRANSPORT SYSTEMS,ACCV,CON,CONTRACT FLEET,Trucklo
ACEF,X,ACME TRANSPORT LTD,ACEF,CON,CONTRACT FLEET,Trucklo
ACEH,A,ACE DORAN HAULING and RIGGING,ACEH,BRO,BROKER,Trucklo
ACEI,X,ACE LOGISTICS- INC.,ACEI,CON,CONTRACT FLEET,Trucklo
ACHR,A,AC TRUCKING LLC,7613,CON,CONTRACT FLEET,Trucklo
ACIK,X,AMERICARRIER- INC.,ACIK,CON,CONTRACT FLEET,Trucklo
ACIL,X,AMERICAN and CARRIER- INC,ACIL,CON,CONTRACT FLEET,Trucklo
ACJF,X,AIR CONTAINER TRANSFER,ACJF,CON,CONTRACT FLEET,Trucklo
ACKG,A,A. C. TRUCKING- INC.,SCAG,CON,CONTRACT FLEET,Trucklo
ACLV,A,ACME  LOGISTICS-   INC.,ACLV,CON,CONTRACT FLEET,Trucklo
ACMW,A,ACME TRANSPORTATION COMPANY,ACMW,CON,CONTRACT FLEET,Trucklo
ACNP,X,ACTION XPRESS,ACNP,CON,CONTRACT FLEET,Trucklo
ACOP,X,ACC TRANSPORT LLC,ACOP,CON,CONTRACT FLEET,Trucklo
ACRB,X,AMERICAN CARRIERS- INC.,ACRB,CON,CONTRACT FLEET,Trucklo
ACVN,X,ACV TRANSPORT LLC,B308,CON,CONTRACT FLEET,Trucklo
ACXQ,X,ACCURATE EXPEDITING INC.,ACXQ,CON,CONTRACT FLEET,Trucklo
ACYI,X,ACE CITY INC,ACYI,CON,CONTRACT FLEET,Trucklo
ACZF,X,AMERICAN CONTRACT FREIGHT INC,ACZF,CON,CONTRACT FLEET,Trucklo
ACZQ,X,ACR LOGISTICS INC,ACZQ,CON,CONTRACT FLEET,Trucklo
ADAY,A,ADVANTAGE EXPRESS INC,ADAY,CON,CONTRACT FLEET,Trucklo
ADDD,X,A D D TRUCKING- INC,ADDD,CON,CONTRACT FLEET,Trucklo
ADEC,A,ADEX INC,6995,CON,CONTRACT FLEET,Trucklo
ADEK,A,A DIVINE SHINE LLC,ADEK,CON,CONTRACT FLEET,Trucklo
ADEW,X,ANDREY S DELIVERY EXPRESS LLC,ADEW,CON,CONTRACT FLEET,Trucklo
ADFE,A,ALTENDORF EXPRESS- INC.,ADFE,CON,CONTRACT FLEET,Trucklo
ADGG,A,ADVANTAGE TRUCKING LLC,ADGG,CON,CONTRACT FLEET,Trucklo
ADIG,A,ALDEN LOGISTICS LLC,C239,CON,CONTRACT FLEET,Trucklo
ADJE,A,A and D TRUCKING LLC,B533,CON,CONTRACT FLEET,Trucklo
ADJM,A,AMERICAN DREAM LOGISTICS INC,4154,CON,CONTRACT FLEET,Trucklo
ADKR,X,ANDIS TRUCKING SERVICE INC.,ADKR,CON,CONTRACT FLEET,Trucklo
ADMN,A,ADMIN TRANSPORT INC,ADMN,CON,CONTRACT FLEET,Trucklo
ADNS,X,DOUG ANDRUS DISTRIBUTING LLC,ADNS,CON,CONTRACT FLEET,Trucklo
ADOP,X,ADONIS TRANSPORT INC,A025,CON,CONTRACT FLEET,Trucklo
ADOW,X,A and D CARGO TRANSPORT INC,ADOW,CON,CONTRACT FLEET,Trucklo
ADPW,X,AMERICAN ROAD TRANSPORTATION L,ADPW,CON,CONTRACT FLEET,Trucklo
ADQI,A,A and D CARRIER INC,ADQI,CON,CONTRACT FLEET,Trucklo
ADSI,A,ADAMS TRANSIT- INC.,ADSI,BRO,BROKER,Trucklo
ADSJ,X,AVERITT EXPRESS- INC.,ADSJ,CON,CONTRACT FLEET,Trucklo
ADTL,X,ALL DAYS TRANSPORT LTD,ADTL,CON,CONTRACT FLEET,Trucklo
ADUE,X,ADVANCE DISTRIBUTION INC.,ADUE,CON,CONTRACT FLEET,Trucklo
ADVV,X,ANDERSON DELIVERY SVCS LLC,ADVV,CON,CONTRACT FLEET,Trucklo
ADWF,A,ARDWIN FREIGHT,ADWF,CON,CONTRACT FLEET,Trucklo
ADWH,A,ADOLLA TRANS INC,ADWH,CON,CONTRACT FLEET,Trucklo
ADXW,X,ALL ROADS TRANSPORTATION LLC,ADXW,CON,CONTRACT FLEET,Trucklo
ADYE,A,ADIYE TRANSPORT LLC,ADYE,CON,CONTRACT FLEET,Trucklo
ADYG,X,APES DELIVERY SERVICE INC,ADYG,CON,CONTRACT FLEET,Trucklo
